run_id,source_url,source_checked_at,scrape_status,scrape_error_code,scrape_error_message,brand,series,product_name,base_item_number,variant_id,sku,item_number,selected_size,selected_upholstery,selected_leg,width_cm,depth_cm,height_cm,weight_kg,material,list_price,display_price,canonical_price,price_from,currency,tax_type,image_url,pdf_url,raw_data_ref,variant_key,variant_key_from,variant_key_error_type,variant_key_error_detail,list_price_value,display_price_value,canonical_price_value,price_compare_value,price_compare_from,price_normalization_error
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:2063/,2026-05-23T03:53:29.337879+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012063730,4060001-9:0708s-14:2063,406500012063730,406500012063730,,ライトグレー aquaclean加工Frisco ファブリック アクアクリーン加工 2063,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/327f834b-c986-4005-a0ec-b3b600f777f5/2905328_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_001_4060001-9_0708s-14_2063.html,4060001-9:0708s-14:2063,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:2065/,2026-05-23T03:53:35.542499+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012065730,4060001-9:0708s-14:2065,406500012065730,406500012065730,,ダークブルーFrisco ファブリック アクアクリーン加工2065,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/0137159a-fe62-430f-a364-b3b600f788f0/2905334_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_002_4060001-9_0708s-14_2065.html,4060001-9:0708s-14:2065,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:2110/,2026-05-23T03:53:42.037123+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012110730,4060001-9:0708s-14:2110,406500012110730,406500012110730,,サンドNaniファブリック 2110,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 257,900","¥ 257,900から","¥ 257,900",dom_text,JPY,tax_included,https://assets.boconcept.com/a7777e50-bfec-42ee-b538-b3b600f76fca/2905342_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_003_4060001-9_0708s-14_2110.html,4060001-9:0708s-14:2110,variant_id,,,257900,257900,257900,257900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:2111/,2026-05-23T03:53:48.175419+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012111730,4060001-9:0708s-14:2111,406500012111730,406500012111730,,ダークグレーNaniファブリック 2111,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 257,900","¥ 257,900から","¥ 257,900",dom_text,JPY,tax_included,https://assets.boconcept.com/0923dffd-19eb-4c95-8b30-b3b6010d15ad/2905348_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_004_4060001-9_0708s-14_2111.html,4060001-9:0708s-14:2111,variant_id,,,257900,257900,257900,257900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:2067/,2026-05-23T03:53:54.852894+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012067730,4060001-9:0708s-14:2067,406500012067730,406500012067730,,ストーングレーFrisco ファブリック アクアクリーン加工 2067,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/0028d894-8de2-4152-96de-b3b600f7a013/2905354_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_005_4060001-9_0708s-14_2067.html,4060001-9:0708s-14:2067,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:3060/,2026-05-23T03:54:01.011795+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013060730,4060001-9:0708s-14:3060,406500013060730,406500013060730,,ライトグレーBristolファブリック 3060,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 266,900","¥ 257,900から","¥ 266,900",dom_text,JPY,tax_included,https://assets.boconcept.com/d3c9c2a7-ce89-4424-b1a6-b3b600f7c051/2905360_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_006_4060001-9_0708s-14_3060.html,4060001-9:0708s-14:3060,variant_id,,,266900,257900,266900,266900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:3063/,2026-05-23T03:54:07.697402+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013063730,4060001-9:0708s-14:3063,406500013063730,406500013063730,,ベージュBristolファブリック 3063,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 266,900","¥ 257,900から","¥ 266,900",dom_text,JPY,tax_included,https://assets.boconcept.com/29e54a41-fef6-4c38-b40b-b3b6010d1e9b/2905366_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_007_4060001-9_0708s-14_3063.html,4060001-9:0708s-14:3063,variant_id,,,266900,257900,266900,266900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:2058/,2026-05-23T03:54:13.983215+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012058730,4060001-9:0708s-14:2058,406500012058730,406500012058730,,ダークグリーン Frisco ファブリック Aquaclean加工 2058,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/033f6a83-1cea-44ed-8131-b3b600f7911b/2905372_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_008_4060001-9_0708s-14_2058.html,4060001-9:0708s-14:2058,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:3092/,2026-05-23T03:54:20.304263+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500013092730,4060001-9:0708s-14:3092,406500013092730,406500013092730,,ライトグリーン Lazio ファブリック 3092,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,"背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 34% アクリル, 24% コットン, 14% ウール, 12% ビスコース, 12% ポリエステル, 4% リネン","¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/253f51e0-764a-4562-8859-b3b6010d2fd3/2905378_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_009_4060001-9_0708s-14_3092.html,4060001-9:0708s-14:3092,variant_id,,,339900,257900,339900,339900,canonical_price,
phase3-catskills-all-variants,https://www.boconcept.com/ja-jp/p/catskills/4060001-9:0708s-14:2056/,2026-05-23T03:54:26.562588+00:00,success,,,BoConcept,Catskills,Catskills armchair,406500012056730,4060001-9:0708s-14:2056,406500012056730,406500012056730,,ライトブルー Frisco ファブリック アクアクリーン加工 2056,自然無垢材オーク,85 cm,83 cm,45/95 cm,39 kg,背面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / フレーム: パイン / 合板 / LVL / ファイバーボード / 段ボール / メタルフレーム / 座面: 39kg/m3 フォーム CA40S、28kg/m3 フォーム RE390、ポリクッション材 / サスペンション: 伸縮性ベルト / ファブリック裏地: 不織布（80g/m2） / Upholstery composition: 100% ポリエステル,"¥ 339,900","¥ 257,900から","¥ 339,900",dom_text,JPY,tax_included,https://assets.boconcept.com/b78b055f-d2ee-4868-a9d3-b3b600f7a1db/2905384_PNG-Web%2072dpi.png?format=pjpg&auto=webp&fit=bounds&width=1920&quality=70,,raw/variant_001_010_4060001-9_0708s-14_2056.html,4060001-9:0708s-14:2056,variant_id,,,339900,257900,339900,339900,canonical_price,
